,,,LMP,,,,,,,,,,,,,,,CAJ,,,,,,,,,,,,,,
Listener,Sentence,#,KW1,KW1 (R),KW1 (S),KW2,KW2 (R),KW2 (S),KW3,KW3 (R),KW3 (S),KW4,KW4 (R),KW4 (S),KW5,KW5 (R),KW5 (S),KW1,KW1 (R),KW1 (S),KW2,KW2 (R),KW2 (S),KW3,KW3 (R),KW3 (S),KW4,KW4 (R),KW4 (S),KW5,KW5 (R),KW5 (S)
NAF004,50-06,0,tuck,1,1,sheet,1,1,under,1,1,edge,1,1,mat,1,1,tuck,1,1,sheet,1,1,under,1,1,edge,1,1,mat,1,1
NAF004,53-01,1,press,1,1,pedal,1,1,with,1,1,left,0,0,foot,1,1,press,1,1,pedal,1,1,with,1,1,left,0,0,foot,1,1
NAF004,32-09,2,purple,1,1,tie,0,0,ten,1,1,years,1,1,old,1,1,purple,1,1,tie,0,0,ten,1,1,years,1,1,old,1,1
NAF004,37-09,3,crawled,0,0,with,1,1,care,1,1,along,1,1,ledge,1,1,crawled,1,1,with,1,1,care,1,1,along,1,1,ledge,1,1
NAF004,56-10,4,break,1,1,dam,1,1,almost,1,1,caused,1,1,flood,1,1,break,1,1,dam,1,1,almost,1,1,caused,1,1,flood,1,1
NAF004,19-10,5,she,1,1,smart,1,1,way,1,1,wearing,1,1,clothes,1,1,she,1,1,smart,1,1,way,1,1,wearing,1,1,clothes,1,1
NAF004,66-05,6,aim,0,0,contest,1,1,raise,0,0,great,1,1,fund,0,0,aim,0,0,contest,1,1,raise,0,0,great,1,1,fund,0,0
NAF004,39-01,7,wrote,1,1,down,1,1,long,1,1,list,1,1,items,1,1,wrote,1,1,down,1,1,long,1,1,list,1,1,items,1,1
NAF004,61-09,8,six,1,1,comes,1,1,more,1,1,often,1,1,ten,1,1,six,1,1,comes,1,1,more,1,1,often,1,1,ten,1,1
NAF004,58-08,9,lobes,0,0,ears,0,0,pierced,0,0,hold,0,0,rings,0,0,lobes,0,0,ears,0,0,pierced,0,0,hold,0,0,rings,0,0
NAF004,51-06,10,smile,1,1,when,1,1,say,1,1,nasty,1,1,words,1,1,smile,1,1,when,1,1,say,1,1,nasty,1,1,words,1,1
NAF004,17-03,11,drop,1,0,two,0,0,when,0,0,add,0,0,figures,0,0,drop,1,0,two,0,0,when,0,0,add,0,0,figures,0,0
NAF004,49-08,12,told,1,1,wild,1,1,tales,1,1,frighten,1,1,him,0,0,told,1,1,wild,1,1,tales,1,1,frighten,1,1,him,0,0
NAF004,57-09,13,vent,1,1,near,1,1,edge,0,0,fresh,1,1,air,1,1,vent,1,1,near,1,1,edge,0,0,fresh,1,1,air,1,1
NAF004,10-10,14,bill,1,1,paid,1,1,every,1,1,third,1,1,week,1,1,bill,1,1,paid,1,1,every,1,1,third,1,1,week,1,1
NAF004,47-04,15,sent,0,0,figs,0,0,kept,0,0,ripe,0,0,cherries,0,0,sent,0,0,figs,0,0,kept,0,0,ripe,0,0,cherries,0,0
NAF004,03-10,16,read,1,1,verse,1,1,out,1,1,loud,1,1,pleasure,0,0,read,1,1,verse,1,1,out,1,1,loud,1,1,pleasure,0,0
NAF004,13-01,17,type,0,0,out,0,0,three,1,1,lists,1,1,orders,1,1,type,0,0,out,0,0,three,1,1,lists,1,1,orders,1,1
NAF004,02-06,18,pot,1,1,tea,1,1,helps,1,1,pass,1,1,evening,1,1,pot,1,1,tea,1,1,helps,1,1,pass,1,1,evening,1,1
NAF004,55-02,19,wrote,1,1,name,1,1,boldly,1,1,top,1,1,sheet,1,1,wrote,1,1,name,1,1,boldly,1,1,top,1,1,sheet,1,1
NAF004,17-06,20,wood,0,0,best,1,1,making,1,1,toys,0,0,blocks,0,0,wood,0,0,best,1,1,making,1,1,toys,0,0,blocks,0,0
NAF004,07-10,21,those,1,1,words,1,1,cue,0,0,actor,0,0,leave,0,0,those,1,1,words,1,1,cue,0,0,actor,0,0,leave,0,0
NAF004,56-07,22,brown,1,1,leather,1,1,bag,1,1,hung,0,0,strap,1,1,brown,1,1,leather,1,1,bag,1,1,hung,0,0,strap,1,1
NAF004,15-06,23,pure,1,1,bred,1,1,poodles,1,1,have,1,1,curls,1,1,pure,1,1,bred,1,1,poodles,1,1,have,1,1,curls,1,1
NAF004,40-07,24,takes,1,1,heat,1,1,bring,1,1,out,1,1,odor,0,0,takes,1,1,heat,1,1,bring,1,1,out,1,1,odor,0,0
NAF004,04-08,25,young,0,0,girl,0,0,gave,0,0,clear,0,0,response,0,0,young,0,0,girl,0,0,gave,0,0,clear,0,0,response,0,0
NAF004,31-01,26,slide,1,1,box,1,1,into,0,0,empty,0,0,space,1,1,slide,1,1,box,1,1,into,0,0,empty,0,0,space,1,1
NAF004,57-02,27,child,1,1,crawled,1,1,into,1,1,dense,0,0,grass,0,0,child,1,1,crawled,1,1,into,1,1,dense,0,0,grass,0,0
NAF004,60-03,28,slide,1,1,tray,1,1,across,1,1,glass,1,1,top,0,0,slide,1,1,tray,1,1,across,1,1,glass,1,1,top,0,0
NAF004,12-03,29,pennant,1,1,waved,0,0,when,0,0,wind,0,0,blew,0,0,pennant,1,1,waved,0,0,when,0,0,wind,0,0,blew,0,0
NAF004,45-10,30,throw,1,1,used,1,1,paper,1,1,cup,1,1,plate,0,0,throw,1,1,used,1,1,paper,1,1,cup,1,1,plate,0,0
NAF004,65-09,31,gold,1,1,vase,0,0,both,1,1,rare,1,1,costly,1,1,gold,1,1,vase,0,0,both,1,1,rare,1,1,costly,1,1
NAF004,33-01,32,fill,1,1,ink,1,1,jar,1,1,sticky,1,1,glue,1,1,fill,1,1,ink,1,1,jar,1,1,sticky,1,1,glue,1,1
NAF004,55-01,33,those,1,1,last,1,1,words,1,1,strong,1,1,statement,1,1,those,1,1,last,1,1,words,1,1,strong,1,1,statement,1,1
NAF004,60-10,34,choose,1,1,between,1,1,high,1,1,road,1,1,low,1,1,choose,1,1,between,1,1,high,1,1,road,1,1,low,1,1
NAF004,22-03,35,fly,1,1,made,1,1,way,1,1,along,1,1,wall,1,1,fly,1,1,made,1,1,way,1,1,along,1,1,wall,1,1
NAF004,18-01,36,steam,1,1,hissed,1,1,from,1,1,broken,1,1,valve,0,0,steam,1,1,hissed,1,1,from,1,1,broken,1,1,valve,0,0
NAF004,67-10,37,cannot,1,1,brew,0,0,tea,0,0,cold,0,0,pot,0,0,cannot,1,1,brew,0,0,tea,0,0,cold,0,0,pot,0,0
NAF004,06-04,38,show,1,1,flop,1,1,from,1,1,very,1,1,start,1,1,show,1,1,flop,1,1,from,1,1,very,1,1,start,1,1
NAF004,02-01,39,boy,1,1,there,1,1,when,1,1,sun,1,1,rose,1,0,boy,1,1,there,1,1,when,1,1,sun,1,1,rose,1,0
NAF004,31-04,40,pink,1,1,clouds,0,0,floated,1,1,with,1,1,breeze,1,1,pink,1,1,clouds,0,0,floated,1,1,with,1,1,breeze,1,1
NAF004,34-10,41,code,1,1,used,1,1,when,1,1,secrets,1,1,sent,0,0,code,1,1,used,1,1,when,1,1,secrets,1,1,sent,0,0
NAF004,41-09,42,no,1,1,hardship,1,1,seemed,1,1,make,0,0,sad,1,1,no,1,1,hardship,1,1,seemed,1,1,make,1,1,sad,1,1
NAF004,55-04,43,down,0,0,road,1,1,way,1,1,grain,0,0,farmer,0,0,down,0,0,road,1,1,way,1,1,grain,0,0,farmer,0,0
NAF004,22-08,44,write,0,0,once,0,0,may,0,0,forget,1,1,it,1,1,write,0,0,once,0,0,may,0,0,forget,1,1,it,1,1
