listener,sentence,snr,talker,filename
0,72-06,+2.0,NWM081,NWM081_72-06_+2.0.wav
0,23-07,+1.0,NWM084,NWM084_23-07_+1.0.wav
0,27-07,+0.0,NWM004,NWM004_27-07_+0.0.wav
0,28-08,-3.0,NWF133,NWF133_28-08_-3.0.wav
0,37-09,+1.0,NWF003,NWF003_37-09_+1.0.wav
0,22-06,-2.0,NWM081,NWM081_22-06_-2.0.wav
0,25-02,+2.0,NWF008,NWF008_25-02_+2.0.wav
0,59-05,-3.0,NWM082,NWM082_59-05_-3.0.wav
0,10-09,+1.0,NWM079,NWM079_10-09_+1.0.wav
0,33-05,+0.0,NWM055,NWM055_33-05_+0.0.wav
0,45-05,+0.0,NWM081,NWM081_45-05_+0.0.wav
0,56-08,+0.0,NWF143,NWF143_56-08_+0.0.wav
0,37-01,-1.0,NWM086,NWM086_37-01_-1.0.wav
0,57-09,-1.0,NWM079,NWM079_57-09_-1.0.wav
0,40-09,-3.0,NWF140,NWF140_40-09_-3.0.wav
0,72-05,+1.0,NWM080,NWM080_72-05_+1.0.wav
0,25-01,+1.0,NWF004,NWF004_25-01_+1.0.wav
0,67-06,+1.0,NWF135,NWF135_67-06_+1.0.wav
0,15-07,+1.0,NWF008,NWF008_15-07_+1.0.wav
0,10-10,+2.0,NWM080,NWM080_10-10_+2.0.wav
0,19-06,+2.0,NWF142,NWF142_19-06_+2.0.wav
0,22-08,-2.0,NWF009,NWF009_22-08_-2.0.wav
0,06-09,-1.0,NWF139,NWF139_06-09_-1.0.wav
0,04-08,-2.0,NWM004,NWM004_04-08_-2.0.wav
0,51-04,+0.0,NWM001,NWM001_51-04_+0.0.wav
0,33-08,+1.0,NWM077,NWM077_33-08_+1.0.wav
0,44-10,-3.0,NWM078,NWM078_44-10_-3.0.wav
0,64-06,+0.0,NWF009,NWF009_64-06_+0.0.wav
0,16-10,-3.0,NWF008,NWF008_16-10_-3.0.wav
0,39-01,-2.0,NWF133,NWF133_39-01_-2.0.wav
0,04-04,+2.0,NWM001,NWM001_04-04_+2.0.wav
0,45-02,-1.0,NWM080,NWM080_45-02_-1.0.wav
0,60-07,-1.0,NWM084,NWM084_60-07_-1.0.wav
0,40-10,-2.0,NWF142,NWF142_40-10_-2.0.wav
0,58-08,+1.0,NWM081,NWM081_58-08_+1.0.wav
0,27-06,-1.0,NWM002,NWM002_27-06_-1.0.wav
0,53-09,+0.0,NWF135,NWF135_53-09_+0.0.wav
0,36-08,-3.0,NWM084,NWM084_36-08_-3.0.wav
0,38-02,+0.0,NWM002,NWM002_38-02_+0.0.wav
0,46-05,-2.0,NWM084,NWM084_46-05_-2.0.wav
0,03-10,+0.0,NWF008,NWF008_03-10_+0.0.wav
0,34-05,-2.0,NWM080,NWM080_34-05_-2.0.wav
0,47-04,-1.0,NWM085,NWM085_47-04_-1.0.wav
0,19-02,+1.0,NWF140,NWF140_19-02_+1.0.wav
0,05-02,-1.0,NWM005,NWM005_05-02_-1.0.wav
0,27-09,+1.0,NWM005,NWM005_27-09_+1.0.wav
0,11-07,-2.0,NWM082,NWM082_11-07_-2.0.wav
0,68-02,-2.0,NWF139,NWF139_68-02_-2.0.wav
0,65-08,+1.0,NWM001,NWM001_65-08_+1.0.wav
0,42-09,+2.0,NWM077,NWM077_42-09_+2.0.wav
0,13-01,+1.0,NWM085,NWM085_13-01_+1.0.wav
